"","Substance","CAS","Orange","ToxCast","Tox21","ExpoCast","NHANES","MW","Expo.Total_median","Expo.Total_95perc","Boiling.Point.Ave.exp","Boiling.Point.Ave.prd","Boiling.Point.Med.exp","Boiling.Point.Med.prd","Boiling.Point.Rng.exp","Boiling.Point.Rng.prd","Boiling.Point.Deg","LogP.Ave.exp","LogP.Ave.prd","LogP.Med.exp","LogP.Med.prd","LogP.Rng.exp","LogP.Rng.prd","LogP","Type","Rev.CAS"
"557","HEXACHLORODIBENZOFURAN","55684-94-1",0,NA,NA,NA,NA,380.9122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"558","HYDROGEN SULFIDE","7783-06-4",0,NA,NA,NA,NA,34.08,NA,NA,"180 (3)","473 (1)",-60,473,"-60.6 to 445",NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"559","DIBENZOFURANS, CHLORINATED","42934-53-2",0,NA,NA,NA,NA,203.6472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"560","HEXACHLORODIBENZO-P-DIOXIN","34465-46-8",0,NA,NA,NA,NA,396.9112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,"EST","0"
"561","VANADIUM","7440-62-2",0,NA,NA,NA,NA,50.94,NA,NA,"3000 (2)","483 (1)",3000,483,"3000",NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"562","TETRACHLORODIBENZO-P-DIOXIN","41903-57-5",0,NA,NA,NA,NA,326.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,"EST","0"
"563","PENTACHLORODIBENZOFURAN","30402-15-4",0,NA,NA,NA,NA,340.4197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"564","PENTACHLORODIBENZO-P-DIOXIN","36088-22-9",0,NA,NA,NA,NA,361.4582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,"EXP","0"
"565","2,3-DIMETHYLNAPHTHALENE","581-40-8",0,NA,NA,NA,NA,156.22,NA,NA,"268 (1)","254 (3)",268,254,"268","228 to 267","C","4.40 (1)","3.60 (3)",4.4,3.6,4.4,"3.07 to 4.26",4.4,"EXP","0"
"566","FLUORINE","7782-41-4",0,NA,NA,NA,NA,37.996,NA,NA,"-188 (2)","440 (1)",-188,440,"-188",NA,"C",NA,"0.22 (1)",NA,0.22,NA,NA,NA,NA,"0"
"567","CESIUM-137","10045-97-3",0,NA,NA,NA,NA,137,NA,NA,NA,"483 (1)",NA,483,NA,NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"568","CHROMIC ACID","7738-94-5",0,NA,NA,NA,NA,118.0078,NA,NA,NA,"666 (1)",NA,666,NA,NA,"C",NA,"1.93 (1)",NA,1.93,NA,NA,NA,NA,"0"
"569","NITRITE","14797-65-0",0,NA,NA,NA,NA,46.005,NA,NA,NA,"541 (1)",NA,541,NA,NA,"C",NA,"0.06 (1)",NA,0.06,NA,NA,NA,NA,"0"
"570","POTASSIUM-40","13966-00-2",0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"571","DINITROTOLUENE","25321-14-6",0,NA,NA,NA,NA,184.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,"EST","0"
"572","COAL TAR PITCH","65996-93-2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"573","SILVER","7440-22-4",0,NA,NA,NA,NA,107.87,NA,NA,"2000 (1)","483 (1)",2000,483,"2000",NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"574","THORIUM-227","15623-47-9",0,NA,NA,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"575","ARSENIC ACID","7778-39-4",0,NA,NA,NA,NA,141.9417,NA,NA,NA,"641 (1)",NA,641,NA,NA,"C",NA,"-3.14 (1)",NA,-3.14,NA,NA,NA,NA,"0"
"576","BENZOPYRENE","73467-76-2",0,NA,NA,NA,NA,252.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"577","PYRETHRUM","8003-34-7",0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"578","ALPHA-CHLORDENE","56534-02-2",0,NA,NA,NA,NA,338.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.66,"EXP","0"
"579","URANIUM-233","13968-55-3",0,NA,NA,NA,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"580","IODINE-131","10043-66-0",0,NA,NA,NA,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"581","SODIUM ARSENITE","7784-46-5",0,NA,NA,NA,NA,129.91,NA,NA,NA,"739 (1)",NA,739,NA,NA,"C",NA,"-3.28 (1)",NA,-3.28,NA,NA,NA,NA,"0"
"582","ANTIMONY","7440-36-0",0,NA,NA,NA,1,121.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"583","DICHLOROBENZENE","25321-22-6",0,NA,NA,NA,NA,148.0115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,"EST","0"
"584","TETRACHLOROETHANE","25322-20-7",0,NA,NA,NA,NA,168.8577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,"EST","0"
"585","DICHLOROETHANE","1300-21-6",0,NA,NA,NA,NA,99.9675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83,"EST","0"
"586","ETHYL ETHER","60-29-7",0,NA,NA,NA,NA,74.12,NA,NA,"34.6 (5)","42.6 (4)",34.6,42.6,"34.4 to 34.6","39.0 to 47.0","C","0.89 (1)","9.81e-01 (3)",0.89,0.981,0.89,"9.10e-01 to 1.05",0.89,"EXP","0"
"587","1,3-DICHLOROPROPENE, CIS-","10061-01-5",0,NA,NA,NA,NA,110.97,NA,NA,"109 (1)","102 (3)",109,102,"109","95.5 to 108","C","2.04 (1)","2.22 (4)",2.04,2.22,2.04,"2.02 to 2.44",2.06,"EXP","0"
"588","1,2,3,4,6,7,8-HEPTACHLORODIBENZO-P-DIOXIN","35822-46-9",0,NA,NA,NA,1,425.309,NA,NA,NA,"426 (3)",NA,426,NA,"393 to 449","C","8.20 (1)","7.53 (3)",8.2,7.53,8.2,"6.36 to 8.85",8.2,"EXP","0"
"589","PHOSPHINE","7803-51-2",0,NA,NA,NA,NA,34,NA,NA,"-87.8 (1)","468 (1)",-87.8,468,"-87.8",NA,"C",NA,"-0.270 (1)",NA,-0.27,NA,NA,NA,NA,"0"
"590","TRICHLOROBENZENE","12002-48-1",0,NA,NA,NA,NA,184.4724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93,"EST","0"
"591","FLUORIDE ION","16984-48-8",0,NA,NA,NA,NA,18.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"592","1,3-DICHLOROPROPENE, TRANS-","10061-02-6",0,NA,NA,NA,NA,110.97,NA,NA,"109 (1)","102 (3)",109,102,"109","95.5 to 108","C","2.04 (1)","2.25 (3)",2.04,2.25,2.04,"2.02 to 2.44",2.03,"EXP","0"
"593","THALLIUM","7440-28-0",0,NA,NA,NA,1,204.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"594","stanozolol","10418-03-8",0,NA,1,NA,NA,328.49,NA,NA,NA,"378 (3)",NA,378,NA,"330 to 450","C",NA,"3.49 (4)",NA,3.49,NA,"2.38 to 4.42",NA,NA,"0"
"595","methyltrienolone (R1881)","965-93-5",0,NA,NA,NA,NA,284.39,NA,NA,NA,"355 (3)",NA,355,NA,"335 to 392","C",NA,"3.11 (3)",NA,3.11,NA,"3.09 to 3.15",NA,NA,"0"
"596","cabazitaxel","183133-96-2",0,NA,NA,NA,NA,835.9383,NA,NA,NA,"540 (3)",NA,540,NA,"306 to 851","C",NA,"2.89 (3)",NA,2.89,NA,"2.24 to 3.82",NA,NA,"0"
"597","Tartaric acid","526-83-0",0,NA,NA,NA,NA,150.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"EST","0"
"598","Ranitidine·HCl","66357-59-3",0,NA,NA,NA,NA,350.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"599","Leucine","61-90-5",0,NA,NA,NA,NA,131.17,NA,NA,NA,"289 (3)",NA,289,NA,"225 to 408","C","-1.52 (1)","-1.61 (3)",-1.52,-1.61,-1.52,"-1.68 to -1.57",-1.52,"EXP","0"
"600","cisapride monohydrate","260779-88-2",0,NA,NA,NA,NA,483.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"601","bepridil hydrochloride","68099-86-5",0,NA,NA,NA,NA,403.0065,NA,NA,NA,"338 (2)",NA,338,NA,"311 to 365","C",NA,"4.50 (2)",NA,4.5,NA,"3.84 to 5.15",NA,NA,"0"
"602","Chloroquine","54-05-7",0,NA,NA,NA,NA,319.8774,NA,NA,NA,"359 (3)",NA,359,NA,"325 to 412","C","4.63 (1)","4.14 (3)",4.63,4.14,4.63,"3.92 to 4.50",4.63,"EXP","0"
"603","Azithromycin","83905-01-5 ",0,NA,NA,NA,NA,748.98,5.22e-07,3.77e-05,NA,"520 (3)",NA,520,NA,"327 to 847","C","4.02 (1)","3.58 (4)",4.02,3.58,4.02,"3.24 to 3.97",NA,NA,"0"
"604","vernacalant","748810-28-8",0,NA,NA,NA,NA,385.9288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"605","sematilide","101526-83-4",0,NA,NA,NA,NA,367.89,NA,NA,NA,"364 (3)",NA,364,NA,"277 to 491","C",NA,"1.07 (3)",NA,1.07,NA,"9.23e-01 to 1.21",NA,NA,"0"
"606","quinidine sulfate","50-54-4",0,NA,NA,NA,NA,746.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,"EST","0"
"607","N-acetylprocainamide","32795-44-1",0,NA,NA,NA,NA,277.36,NA,NA,NA,"368 (3)",NA,368,NA,"294 to 495","C",NA,"1.44 (3)",NA,1.44,NA,"0.99 to 2.08",0.99,"EST","0"
"608","disopyramide phosphate","22059-60-5",0,NA,NA,NA,NA,437.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"609","citalopram hydrobromide","59729-33-8",0,NA,NA,NA,NA,405.3,NA,NA,NA,"363 (3)",NA,363,NA,"318 to 418","C",NA,"3.37 (3)",NA,3.37,NA,"2.95 to 3.74",3.74,"EST","0"
"610","Raloxifene","82640-04-8",0,NA,NA,NA,NA,510.04,NA,NA,NA,"396 (2)",NA,396,NA,"319 to 473","C",NA,"4.78 (3)",NA,4.78,NA,"3.80 to 5.98",NA,NA,"0"
"611","Sodium Perchlorate","7601-89-0",0,NA,NA,NA,NA,122.44,NA,NA,NA,"693 (1)",NA,693,NA,NA,"C",NA,"1.18e-01 (2)",NA,0.118,NA,"-0.124 to 0.36",NA,NA,"0"
"612","DE-71","189084-62-6",0,NA,NA,NA,NA,485.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"613","1,1,4,4,6-pentamethyldecalin (91.2%)","6683-48-3",1,NA,NA,NA,NA,202.339,NA,NA,"62.0 (1)","256 (3)",62,256,"60.0 to 64.0","239 to 265","C",NA,"5.44 (3)",NA,5.44,NA,"4.74 to 6.25",NA,NA,"0"
"614","butyldecalin","92369-80-7",1,NA,NA,NA,NA,194.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
